hash_id,age,gender,member_class,contact_member_class,mobile_owned_class,newsletter_received,integrated_datetime
cust_00000001,37,F,Silver,OK,Y,Y,2023-08-20 14:48:42.493602
cust_00000002,65,F,Silver,NG,Y,Y,2024-05-16 14:48:42.493602
cust_00000003,50,M,Gold,OK,Y,N,2023-03-06 14:48:42.493602
cust_00000004,45,F,Bronze,OK,Y,N,2023-03-01 14:48:42.493602
cust_00000005,28,M,Bronze,OK,Y,Y,2022-09-27 14:48:42.493602
cust_00000006,28,F,Basic,OK,Y,Y,2023-04-14 14:48:42.493602
cust_00000007,22,M,Premium,OK,N,Y,2024-03-06 14:48:42.493602
cust_00000008,57,M,Bronze,OK,Y,Y,2022-11-05 14:48:42.493602
cust_00000009,45,F,Bronze,OK,Y,Y,2023-12-22 14:48:42.493602
cust_00000010,49,F,Bronze,OK,Y,Y,2023-05-06 14:48:42.493602
cust_00000011,20,F,Basic,OK,Y,N,2022-11-12 14:48:42.493602
cust_00000012,68,M,Bronze,OK,Y,Y,2024-01-05 14:48:42.493602
cust_00000013,55,M,Basic,NG,Y,N,2025-03-06 14:48:42.493602
cust_00000014,31,M,Silver,OK,Y,Y,2024-05-27 14:48:42.493602
cust_00000015,29,F,Bronze,NG,Y,Y,2024-02-15 14:48:42.493602
cust_00000016,29,F,Premium,NG,N,Y,2024-11-15 14:48:42.493602
cust_00000017,34,F,Premium,OK,Y,N,2023-11-10 14:48:42.493602
cust_00000018,42,F,Silver,NG,N,Y,2024-05-27 14:48:42.493602
cust_00000019,39,M,Gold,OK,Y,N,2024-02-23 14:48:42.493602
cust_00000020,34,M,Silver,OK,Y,N,2024-07-26 14:48:42.493602
cust_00000021,45,M,Gold,OK,Y,Y,2023-09-01 14:48:42.493602
cust_00000022,27,F,Premium,NG,Y,Y,2025-08-07 14:48:42.493602
cust_00000023,34,M,Basic,OK,Y,N,2024-11-04 14:48:42.493602
cust_00000024,36,M,Premium,NG,Y,Y,2024-04-28 14:48:42.493602
cust_00000025,40,M,Bronze,OK,Y,Y,2025-02-17 14:48:42.493602
cust_00000026,52,M,Gold,NG,Y,Y,2025-03-07 14:48:42.493602
cust_00000027,30,F,Basic,OK,Y,Y,2025-01-16 14:48:42.493602
cust_00000028,42,F,Basic,OK,Y,N,2024-09-15 14:48:42.493602
cust_00000029,44,M,Bronze,OK,Y,Y,2024-07-09 14:48:42.493602
cust_00000030,22,F,Bronze,OK,Y,Y,2024-05-24 14:48:42.493602
cust_00000031,45,F,Premium,OK,Y,Y,2025-07-11 14:48:42.493602
cust_00000032,29,M,Basic,NG,Y,N,2025-04-25 14:48:42.493602
cust_00000033,23,M,Basic,OK,Y,N,2023-03-20 14:48:42.493602
cust_00000034,64,M,Basic,NG,Y,N,2024-06-29 14:48:42.493602
cust_00000035,67,F,Bronze,OK,Y,N,2023-12-03 14:48:42.493602
cust_00000036,54,F,Silver,NG,Y,Y,2023-10-21 14:48:42.493602
cust_00000037,34,M,Basic,OK,Y,Y,2024-05-07 14:48:42.493602
cust_00000038,25,M,Silver,OK,Y,Y,2022-11-17 14:48:42.493602
cust_00000039,48,M,Bronze,NG,N,N,2023-08-13 14:48:42.493602
cust_00000040,39,M,Gold,OK,Y,N,2023-08-09 14:48:42.493602
cust_00000041,26,M,Basic,OK,Y,N,2023-03-23 14:48:42.493602
cust_00000042,41,M,Gold,OK,Y,N,2023-05-14 14:48:42.493602
cust_00000043,21,F,Silver,OK,Y,Y,2024-06-01 14:48:42.493602
cust_00000044,60,M,Bronze,OK,Y,Y,2023-06-14 14:48:42.493602
cust_00000045,32,M,Bronze,NG,Y,Y,2025-06-26 14:48:42.493602
cust_00000046,47,M,Bronze,OK,N,Y,2025-01-10 14:48:42.493602
cust_00000047,34,F,Silver,OK,Y,Y,2023-08-16 14:48:42.493602
cust_00000048,42,M,Premium,OK,Y,Y,2024-08-04 14:48:42.493602
cust_00000049,43,F,Bronze,OK,Y,Y,2022-10-15 14:48:42.493602
cust_00000050,29,F,Basic,OK,N,N,2023-04-05 14:48:42.493602
cust_00000051,68,F,Basic,NG,Y,Y,2024-05-24 14:48:42.493602
cust_00000052,52,M,Bronze,NG,Y,Y,2024-05-26 14:48:42.493602
cust_00000053,63,F,Basic,OK,Y,Y,2024-06-14 14:48:42.493602
cust_00000054,59,F,Silver,NG,Y,Y,2023-08-08 14:48:42.493602
cust_00000055,45,F,Bronze,OK,Y,N,2023-04-12 14:48:42.493602
cust_00000056,61,M,Bronze,NG,N,Y,2023-03-17 14:48:42.493602
cust_00000057,24,F,Silver,OK,Y,N,2024-06-09 14:48:42.493602
cust_00000058,30,F,Bronze,OK,Y,Y,2022-10-23 14:48:42.493602
cust_00000059,22,M,Bronze,OK,N,Y,2025-04-24 14:48:42.493602
cust_00000060,35,F,Silver,OK,Y,Y,2024-09-17 14:48:42.493602
cust_00000061,37,M,Silver,OK,Y,Y,2025-05-02 14:48:42.493602
cust_00000062,33,M,Premium,OK,Y,Y,2024-12-19 14:48:42.493602
cust_00000063,55,F,Bronze,OK,Y,N,2024-11-20 14:48:42.493602
cust_00000064,36,F,Silver,OK,Y,Y,2023-05-22 14:48:42.493602
cust_00000065,33,M,Gold,OK,N,Y,2022-11-30 14:48:42.493602
cust_00000066,43,F,Bronze,OK,Y,Y,2025-07-02 14:48:42.493602
cust_00000067,27,F,Bronze,OK,Y,Y,2025-09-20 14:48:42.493602
cust_00000068,53,F,Bronze,OK,Y,N,2023-02-26 14:48:42.493602
