hash_id,transaction_date,quantity,sales_amount,discount_amount,after_compensation_sales_amount,cost,grossprofit_amount,item_name,unit_point
cust_00000001,2025-04-26 14:48:42.512338,1,500.31,37.83,462.48,385.58,114.73,Item_533,5.0
cust_00000001,2024-12-07 14:48:42.512427,5,126.75,23.93,102.82,93.07,33.68,Item_79,1.0
cust_00000001,2024-10-08 14:48:42.512459,1,569.82,96.89,472.94,404.45,165.37,Item_35,6.0
cust_00000001,2024-10-05 14:48:42.512487,2,271.99,18.89,253.09,204.49,67.5,Item_165,3.0
cust_00000001,2025-01-06 14:48:42.512523,3,149.2,8.19,141.01,92.44,56.76,Item_945,1.0
cust_00000001,2024-09-24 14:48:42.512548,1,501.32,3.54,497.78,314.99,186.32,Item_737,5.0
cust_00000002,2025-06-10 14:48:42.512621,1,777.5,19.27,758.22,565.11,212.39,Item_812,8.0
cust_00000002,2025-07-11 14:48:42.512655,5,734.45,1.0,733.45,501.43,233.01,Item_110,7.0
cust_00000002,2025-07-01 14:48:42.512679,1,153.71,15.04,138.67,97.09,56.62,Item_586,2.0
cust_00000002,2025-03-07 14:48:42.512701,3,1335.29,224.88,1110.41,902.01,433.28,Item_346,13.0
cust_00000002,2025-03-30 14:48:42.512723,1,3313.98,355.29,2958.69,2335.87,978.11,Item_133,33.0
cust_00000003,2025-08-25 14:48:42.512781,1,675.47,132.37,543.11,478.84,196.63,Item_236,7.0
cust_00000003,2025-04-14 14:48:42.512810,3,715.49,21.07,694.42,451.69,263.8,Item_642,7.0
cust_00000003,2025-07-07 14:48:42.512832,1,1591.39,15.7,1575.69,1249.71,341.68,Item_217,16.0
cust_00000003,2025-06-14 14:48:42.512854,2,1099.51,80.01,1019.51,862.73,236.79,Item_850,11.0
cust_00000003,2025-07-30 14:48:42.512880,2,349.23,39.72,309.51,246.38,102.85,Item_332,3.0
cust_00000003,2024-12-09 14:48:42.512902,2,164.14,9.87,154.27,107.03,57.1,Item_690,2.0
cust_00000003,2025-05-04 14:48:42.512922,3,1849.25,323.29,1525.96,1254.61,594.64,Item_659,18.0
cust_00000003,2025-01-31 14:48:42.512945,1,1875.18,7.51,1867.66,1161.02,714.16,Item_250,19.0
cust_00000003,2025-05-16 14:48:42.512966,1,296.57,37.4,259.17,196.72,99.85,Item_84,3.0
cust_00000003,2025-08-10 14:48:42.512986,3,1283.71,78.76,1204.95,831.61,452.09,Item_407,13.0
cust_00000003,2025-07-07 14:48:42.513009,1,737.41,32.01,705.41,501.31,236.11,Item_351,7.0
cust_00000003,2025-01-24 14:48:42.513030,1,262.08,4.33,257.75,188.12,73.96,Item_199,3.0
cust_00000004,2025-04-20 14:48:42.513087,5,193.82,4.63,189.19,126.85,66.97,Item_75,2.0
cust_00000004,2025-02-20 14:48:42.513119,2,310.9,0.19,310.71,203.03,107.87,Item_686,3.0
cust_00000004,2025-06-20 14:48:42.513142,4,338.56,8.57,329.99,214.6,123.96,Item_251,3.0
cust_00000004,2024-10-16 14:48:42.513165,5,1602.93,316.38,1286.55,1075.15,527.78,Item_159,16.0
cust_00000005,2025-08-01 14:48:42.513220,2,66.58,3.24,63.34,44.46,22.13,Item_110,1.0
cust_00000005,2024-11-26 14:48:42.513250,2,1162.11,202.86,959.25,759.18,402.93,Item_334,12.0
