hash_id,Recency,Frequency,Monetary,AOV,AOV_Std,Avg_Discount,Avg_Items
cust_00000001,148,6,2119.39,353.23,194.93,31.54,2.17
cust_00000002,72,5,6314.93,1262.99,1220.38,123.1,2.2
cust_00000003,27,12,10899.43,908.29,621.08,65.17,1.75
cust_00000004,93,4,2446.21,611.55,663.89,82.44,4.0
cust_00000005,51,4,2259.07,564.77,512.87,84.87,2.25
cust_00000006,85,1,343.62,343.62,0.0,0.65,4.0
cust_00000007,13,24,47356.01,1973.17,1757.32,213.32,2.17
cust_00000008,67,3,958.88,319.63,193.09,36.94,1.67
cust_00000009,165,4,5569.32,1392.33,1973.71,247.33,1.25
cust_00000010,191,2,374.08,187.04,112.77,15.5,3.0
cust_00000011,72,3,4073.47,1357.82,1901.77,54.14,2.33
cust_00000012,94,4,2335.57,583.89,310.09,39.31,1.75
cust_00000013,16,3,697.38,232.46,240.3,7.55,2.67
cust_00000014,141,8,5824.09,728.01,506.08,75.22,1.25
cust_00000015,30,4,3162.24,790.56,843.19,101.09,1.75
cust_00000016,7,20,40088.16,2004.41,1547.72,194.92,2.75
cust_00000017,17,23,71255.36,3098.06,1821.94,237.04,1.91
cust_00000018,10,4,934.3,233.58,134.63,20.11,3.25
cust_00000019,22,8,11066.5,1383.31,1851.2,97.5,2.25
cust_00000020,18,5,3985.11,797.02,529.21,113.13,2.2
cust_00000021,21,15,24343.16,1622.88,2112.97,126.69,2.33
cust_00000022,7,21,38758.43,1845.64,2057.64,137.62,2.05
cust_00000023,245,1,384.41,384.41,0.0,46.75,1.0
cust_00000024,25,17,32762.04,1927.18,1765.49,152.51,2.0
cust_00000025,79,2,1349.21,674.6,556.32,88.54,2.5
cust_00000026,18,8,12531.07,1566.38,1786.38,230.57,2.25
cust_00000027,109,2,205.38,102.69,35.0,11.05,1.5
cust_00000028,316,1,48.16,48.16,0.0,9.54,4.0
cust_00000029,122,2,841.75,420.88,374.04,28.84,2.0
cust_00000030,49,4,2656.1,664.02,797.14,83.64,2.5
cust_00000031,5,18,31457.37,1747.63,1173.58,174.72,1.94
cust_00000032,289,1,21.98,21.98,0.0,0.15,1.0
cust_00000033,299,1,537.56,537.56,0.0,84.0,1.0
cust_00000034,13,1,1957.76,1957.76,0.0,106.51,2.0
cust_00000035,5,3,1534.35,511.45,452.3,29.69,3.0
cust_00000036,22,7,3733.51,533.36,607.45,63.03,2.71
cust_00000037,215,2,63.67,31.84,22.79,1.74,1.5
cust_00000038,33,4,3095.94,773.98,370.41,66.55,2.0
cust_00000039,91,3,956.71,318.9,53.93,42.21,1.33
cust_00000040,77,10,9397.24,939.72,584.15,81.89,2.6
